"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"103160461",3.11347036560478,-0.0318692968122038,0.942843480707848,0.0012144284441149,0.972200426652546,0.977357076723193
"103160463",1.01525789362401,-0.226424089135309,0.724011017750564,0.098440240445882,0.753709496428232,0.810008353498701
"103160468",105.977419581196,0.36267607895241,0.194334747376282,3.5239320408611,0.0604887826516903,0.135815518147809
"103160469",122.262376366022,0.181190542196012,0.346178873441755,0.276039816165621,0.599308688070953,0.684161018384886
"103160471",14.814578594924,-0.33119124361635,0.508167833727718,0.422237466017293,0.515822698477055,0.610882251008192
"103160474",578.647655247706,0.257597792749734,0.121707998455124,4.51390499427964,0.0336204002088079,0.0924577266334309
"103160476",46.8865801170396,-0.204845717448363,0.21120373485897,0.931656442086876,0.334432869235208,0.441900282225179
"103160478",12.487296899552,-0.241510017030145,0.346888278278693,0.487757858616703,0.484929180718346,0.582595360371137
"103160490",1.85433873069752,-6.39152858427937,1.38469091565594,19.4537826790817,1.03063522690974e-05,0.000593030117766946
"103160491",77.2874921112324,0.0931762627275913,0.250192985767652,0.13999371893965,0.708287256593387,0.773830093957036
"103160494",52.9537200008993,1.04635765328559,0.325548881834124,10.5003799166557,0.00119350002340748,0.0118392203996771
"103160496",4.84729610994324,-1.55573807899567,0.695502661776767,4.65902900549219,0.0308906559711631,0.0875943895132823
"103160497",940.825951594291,0.935286856949195,0.349477690875748,7.29700760792423,0.00690695481323987,0.0343294974371345
"103160499",27.6004016259492,0.120075581676833,0.267186775171336,0.208945225332911,0.647595384544145,0.724049739758929
"103160501",148.691385543884,-0.495489028762349,0.321707342376243,2.31983063573909,0.127733933101402,0.223833562504491
"103160503",8.15810545048977,0.372865346205505,0.45137051263877,0.699268818760288,0.403029490844602,0.507176364408288
"103160504",2.09423589773479,0.613644611235369,0.678107176410004,0.83985127974168,0.359439308348027,0.465721426320956
"103160509",7.78493537332714,-0.0190824634897421,0.471514356970826,0.00586388436852303,0.938960849026761,0.953205733023523
"103160519",24.541046881153,-0.537625022218687,0.694717514251147,0.584295215639543,0.444633641220086,0.54580891277578
"103160520",133.200325446131,0.845216329087427,0.341528291253745,6.2324083165546,0.0125433030393142,0.0499868384367399
"103160523",18.1632274006394,-0.713523106384774,0.325949228995118,4.69015707724037,0.0303358741016612,0.0865268951999955
"103160542",14.535117662131,0.878935933385688,0.408822878456547,4.73693248382767,0.0295216648957435,0.0851217984772806
"103160546",27.9531132826061,-0.824709623563022,0.277117909209562,8.57737473828399,0.00340365752240449,0.022354312643762
"103160549",7.42373952742999,1.19159094788347,0.671787221435963,3.22012477716351,0.0727380852160878,0.15338553350344
"103160550",28.338173932469,0.0666315903318663,0.434359197106178,0.0237442157156238,0.877537525414423,0.907808450896298
"103160551",23.3678380509978,-0.160244209561249,0.203971625073655,0.616433489002418,0.43237571966709,0.53445398739719
"103160555",1.11183760994904,-5.65905394277394,1.33431928703523,17.6490724710523,2.65644790609263e-05,0.00101920970933701
"103160557",99.4577743589769,0.858109626717722,0.380528455605428,5.17205159923583,0.0229530927582036,0.0724130316611104
"103160558",4.9177804020566,-0.627962940679137,0.385756811405683,2.59282001427712,0.107349052949118,0.19815177089621
"103160559",10.7703772652182,-2.00172340737381,0.872610975134695,4.63178691047148,0.0313848601209131,0.0885014454708946
"103160566",19.1264338955425,1.04684914194271,0.988348992820164,1.14416593106034,0.284773763223224,0.393293908567346
"103160567",7.87284674079484,1.08429320668867,0.89104963012334,1.51397817217838,0.218533054709247,0.325248389979263
"103160568",36.0240158786921,-0.313092630216724,0.192519442671407,2.60791468395269,0.106331502353601,0.19683582575289
"103160572",7.59519023043662,-0.270937376386202,0.223857626610371,1.46468799041011,0.226185682947773,0.33296611941399
"103160574",4.71278374896171,0.0911192930630793,0.281266427450307,0.16745228647062,0.682386038416071,0.753173191713988
"103160587",98.2839517484859,1.23814494366202,0.544445778011689,5.25746309970657,0.0218528500622295,0.0704075846859911
"103160593",9.81069347130812,0.282704467185153,0.539604739063464,0.28017347403528,0.59658753825959,0.682205120775487
"103160595",19.0700760543354,-0.323942133289998,0.280499532864194,1.31383125679747,0.251702155324781,0.359656022535383
"103160599",307.106747976352,-0.39714824938707,0.236943799611769,2.76208637205093,0.0965222831991773,0.184337621194757
"103160601",1.77956587912424,0.0917857899426132,0.683943717178105,0.0209602834722489,0.884887204695527,0.912902503982769
"103160604",49.6175671839213,0.34298881190928,0.227455355628995,2.29851324574662,0.12949790083862,0.225953269013252
"103160605",41.5319962178909,-0.223431449067215,0.192976523082218,1.32876678250636,0.249024726976227,0.357023347853461
"103160606",108.541506360049,-0.839796441664203,0.18984554993331,18.820410557032,1.43621920085253e-05,0.000694416868711522
"103160608",158.507911959851,-0.403320633477962,0.196601705774244,4.13752819924412,0.0419423715984662,0.106790401624968
"103160620",13.6128651161873,0.71996782274234,0.292851585852514,6.19033134551398,0.0128450134045306,0.0507905050195836
"103160622",38.9019538522203,0.671170342996019,0.231525445856582,8.53647121873934,0.00348099844797341,0.0225637906693762
"103160623",52.4719576563792,0.169350322852474,0.206021296550614,0.679914412331073,0.409616197480302,0.513238805392904
"103160625",2.42164066451005,1.60015225201812,0.700836571298406,5.31579368877186,0.0211329650465461,0.0688686607374263
"103160632",31.8402311910095,0.101817065985543,0.124456460827609,0.694610810621441,0.404600486917033,0.508253439512693
"103160633",1.3284339647096,-0.107455270467541,1.33172184327262,0.00649229047054689,0.935780146822412,0.950921954434898
"103160645",56.0567105222241,0.167558756192449,0.569879792092785,0.0869706510911215,0.7680642606959,0.821893515943407
"103160655",359.717217020969,0.788960396886526,0.319549211722106,6.2087159978131,0.0127122803751823,0.0504199401599377
"103160656",4.31099090434446,1.39226430725141,1.46913607844494,0.91480811548837,0.338841894549717,0.446096609461027
"103160658",109.688275672565,-0.204308546756684,0.268502340314079,0.574656485252149,0.44841446356787,0.549246342712081
"103160666",18.4678804380915,1.65704511615159,0.363576289839501,20.9383524588871,4.74302866026729e-06,0.000389298576385126
"103160678",22.890002935839,-1.47994585178199,0.532870315410573,7.09854023251387,0.00771467576795215,0.0367213700309117
"103160679",29.6178284939282,0.577882563681788,0.308017256507918,3.5569246505749,0.0592975037001034,0.133859310591605
"103160682",19.8777613303219,-1.01269031015337,0.266143072979247,13.8857168714503,0.000194269231618143,0.00374507863361266
"103160687",19.4433984597487,-0.165881247051779,0.47119279492897,0.124565275492103,0.724134875448723,0.786729288182889
"103160689",163.359284477244,-0.487301401853723,0.228350857827967,4.46132699055124,0.0346705538114294,0.0943599315392435
"103160691",5.0139971804616,1.1144759663345,0.598636686703121,3.55273337921955,0.0594474463968182,0.134049087964906
"103160693",9.60103434464734,-0.0165101700191533,0.521027662774128,0.00285456227152281,0.957390813622297,0.966090041573149
"103160695",1.96681467037011,1.49893578447907,1.330784992331,1.2970007717349,0.254761794729191,0.363160741283137
"103160699",1.42586460794089,0.81129914067047,1.30834454524381,0.395509119335003,0.529417696440536,0.623140892183673
"103160703",46.2465754984892,-0.29553033413614,0.418559287856059,0.493391064002026,0.482418515469288,0.580363845412654
"103160710",2054.35204329423,0.104248925644398,0.164358653799708,0.403865105212162,0.525099876122872,0.619700684025457
"103160711",87.9458007319978,1.18438313756039,0.56751728067683,4.42822198019104,0.0353493139880025,0.0956760278635672
"103160728",2.88016348450733,-0.501027907054357,0.692371050344333,0.512625632593654,0.474004443526216,0.572908185079939
"103160731",49.3533578788144,-0.0112601026144418,0.144942485857291,0.00990480910019187,0.92072310070161,0.940032958160841
"103160732",4.20923485035504,-0.51799473400531,0.33627922454315,2.37664359151867,0.123161911755505,0.218324800549258
"103160735",38.3644264607914,0.230366275469449,0.226742851883821,1.03872584761041,0.308117991285994,0.416539352101904
"103160736",5.26464883232556,0.968938567632545,0.934678573780531,1.09260827176948,0.295894021937599,0.404552613431084
"103160739",76.0415504287112,0.25426430090053,0.182027895241544,1.96251462630909,0.161244638864133,0.264180945465855
"103160742",312.582517291727,0.634111024929882,0.211860827464991,9.09812353393022,0.0025587186612903,0.0185856851150953
"103160753",5.81734555069789,-0.740154788657778,0.34725099805653,4.42247973764347,0.0354684560889911,0.0957729681420211
"103160754",2907.9161016698,0.958777744821462,0.360447930502915,7.20915496537577,0.00725326364483908,0.0354069858212182
"103160757",0.453560506544466,0.323482744436396,1.36758496901461,0.0562565251764227,0.812513598116202,0.857515836158721
"103160763",8.1661182556107,-1.49554743462569,0.455583243158147,10.2652690897469,0.00135557964093891,0.012829270703027
"103160764",1.19959314915481,-1.26176990086108,1.31396031012024,0.873193731694286,0.350072663480668,0.457165796778617
"103160768",13.1423664871568,0.840565392313107,0.517686779795495,2.67610383358885,0.101864675158498,0.191080279411197
"103160769",9.91091902966867,0.410970397810069,0.316159472225141,1.73087264934037,0.188299490534257,0.292853091678825
"103160771",18.3281439889095,-0.158984030096867,0.235966611053217,0.464085249427626,0.495720889847539,0.59231147350342
"103160773",183.642524841789,-0.668104162719035,0.442539418766995,2.20476917760732,0.137584486476015,0.236184080820366
"103160775",10.2780664141528,-0.200529059389542,0.513792036250223,0.154110556127591,0.694637711198766,0.76302256894293
"103160777",18.693974616337,0.0485436387464886,0.243368561288577,0.0557845029049986,0.813287231695594,0.858141181602796
"103160778",20.2991129948109,0.321698891838669,0.153740189907526,4.40628606325436,0.0358067166050026,0.0963453485784803
"103160781",6.76248327173257,-0.80484054499853,0.508842424805591,2.40100870988022,0.1212570403731,0.215870363094088
"103160795",185.857728544203,-0.413455798259435,0.140235329458285,8.5494829644523,0.00345620379216,0.0225382743672352
"103160799",3.35646479300565,-2.62790348734952,0.623142539672598,17.4269041018285,2.98569924173889e-05,0.00107994185041523
"103160804",9.1376513123419,-0.159735427771342,0.495282682543384,0.107138855959704,0.743425319968325,0.801561811540484
"103160807",9.44812161706484,1.47230120816054,0.897509244679118,2.73875249210073,0.0979411995751984,0.185928706191432
"103160811",277.058052717239,0.0534189750279436,0.293950722828706,0.0331470191504195,0.855533105844722,0.890358232636556
"103160814",31.0196693912816,1.61729630764163,0.80295459184983,4.09383423067067,0.0430399011851956,0.108555631082492
"103160815",60.0637434924687,0.605074767601308,0.285272166406232,4.56093251476324,0.032709259133793,0.0910426213122989
"103160827",68.2942139247976,-1.18066200321694,0.311393307818273,13.5042725276631,0.00023802090103352,0.00426791475613588
"103160829",3.43801257025097,-0.679836141537096,0.37413676433803,3.45249725782099,0.0631562801522269,0.139608416649508
"103160833",24.0051187314846,0.337434283541153,0.333094213586776,1.03301555752347,0.309451450822712,0.417532420814193
"103160836",29.8748295764635,0.425554587241466,0.721185637112573,0.352331296730938,0.552796397073447,0.643954835096006
"103160837",148.770175007391,0.249711442721394,0.0830158221135528,9.11621774729684,0.00253353244558603,0.0184945705554555
"103160844",21.2049589318925,-0.0506546095790372,0.380541274083329,0.0176926678115592,0.894182476108921,0.919445735799752
"103160846",359.928088698438,-0.000472976157571337,0.0959436484817657,0.00091715534369996,0.975840100131109,0.980045713110337
"103160858",135.979118724275,-0.863953204181661,0.242136572835523,12.1869593612697,0.00048124763351387,0.00683410100939027
